gene,less_than_0.001_AF_non_disease_sum,less_than_0.001_AF_squared_non_disease_sum,less_than_0.001_AF_disease_sum,less_than_0.001_AF_squared_disease_sum
ADAMTS4,0.015304417,3.96482E-06,0,0
ADAMTS5,0.010146738,1.07822E-06,0,0
ADAMTS6,0.009382323,1.90308E-06,0,0
ADAMTS7,0.048427175,1.54052E-05,0,0
ADAMTS8,0.018677867,5.61566E-06,0,0
ADAMTS9,0.024950964,5.63193E-06,0,0
ADAMTSL1,0.038886362,1.0631E-05,0,0
ADAMTSL2,0.008363488,2.19839E-06,0.000066596,1.24608E-09
ADAMTSL3,0.026501882,8.06722E-06,0,0
ADAMTSL4,0.025438387,6.41915E-06,0.000312821,2.94168E-08
ADAMTSL5,0.01414475,3.60017E-06,0,0
ADAP1,0.010157146,3.46112E-06,0,0
ADAP2,0.003929526,7.01088E-07,0,0
ADAR,0.009358762,2.27148E-06,0.000403912,8.03212E-08
ADARB1,0.003527218,8.40403E-07,0,0
ADARB2,0.01525688,5.0663E-06,0,0
ADAT1,0.008937148,2.03413E-06,0,0
ADAT2,0.001927238,1.05929E-07,0,0
ADC,0.011304728,4.31313E-06,0,0
ADCK1,0.013150466,4.36324E-06,0,0
ADCK2,0.012193478,3.8159E-06,0,0
ADCK3,0.013694406,3.51236E-06,0.00158843,5.01041E-07
ADCK4,0.009732297,2.13271E-06,0.000162839,1.30054E-08
ADCK5,0.010566294,3.51013E-06,0,0
ADCY1,0.005742097,9.06316E-07,0,0
ADCY10,0.021176952,5.45106E-06,0,0
ADCY2,0.012327418,4.91677E-06,0,0
ADCY3,0.012679401,2.67624E-06,0,0
ADCY4,0.017309952,3.51812E-06,0,0
ADCY5,0.013868113,3.82303E-06,0,0
ADCY6,0.014117166,3.17489E-06,0,0
ADCY7,0.017456719,3.72312E-06,0,0
ADCY8,0.016007673,4.49118E-06,0,0
ADCY9,0.014592688,2.81139E-06,0,0
ADCYAP1,0.00256516,5.2401E-07,0,0
ADCYAP1R1,0.005376739,1.43516E-06,0,0
ADD1,0.010548453,2.53268E-06,0,0
ADD2,0.007242655,1.74464E-06,0,0
ADD3,0.008526316,1.84938E-06,0.000008239,6.78811E-11
ADH1A,0.004947724,1.02866E-06,0,0
ADH1B,0.00567616,1.06456E-06,0,0
ADH4,0.007887412,2.80808E-06,0,0
ADH5,0.003622653,5.56353E-07,0,0
ADH6,0.005936545,1.71541E-06,0,0
ADH7,0.005721187,7.68647E-07,0,0
ADHFE1,0.007690983,1.6236E-06,0,0
ADI1,0.010779597,3.75541E-06,0,0
ADIPOQ,0.004639225,1.41739E-06,0.000788397,5.13936E-07
ADIPOR1,0.001921085,9.09866E-07,0,0
ADIPOR2,0.00103479,4.82293E-08,0,0
ADK,0.002727715,1.04158E-06,0.000016642,2.76956E-10
ADM,0.002469548,2.27848E-07,0,0
ADM5,0.003877449,1.87209E-06,0,0
ADNP,0.007742644,8.49719E-07,0,0
ADNP2,0.011663873,2.00408E-06,0,0
ADORA1,0.003355918,8.00325E-07,0,0
ADORA2A,0.00305541,2.17501E-07,0,0
ADORA2B,0.004699435,1.32571E-06,0,0
ADORA3,0.011228418,3.13389E-06,0,0
